# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 76, mean track length: 2
49 0.20632405653531205 8.6598944406411125 419.45000213372583 155 84 65 1.9284081253156145 2 1509 1 2584
52 3.0094535805872238 5.2845445757839258 249.85901549693986 179 93 74 1.2120647834848255 2 1540 1 2453
54 -1.7167675145726076 0.35997116425926945 27.936971332443949 250 172 132 0.22937732371418468 2 1608 1 3239
57 -0.88068455599791917 2.7699393769774137 121.95423509029601 158 91 77 1.9333767955771046 2 1662 1 3033
59 1.5260160002861616 5.1735334717527079 225.97896549935928 210 116 90 0.084460614539721368 2 1693 1 2782
60 -0.79409403440232262 2.5705735879908289 110.03267087565304 167 101 86 3.6571113584368771 2 1708 1 3115
61 -0.85426930137214152 2.9824941076413105 128.73934050180139 141 78 60 1.9605571598534541 2 1709 1 3057
62 1.1273968678887796 5.8443049315150057 254.63252517419471 172 87 68 0.25306294441480354 2 1712 1 2819
63 -0.75438910661043179 5.4730277303157733 238.6967858719897 97 55 44 2.0866783225524568 2 1732 1 2930
64 -0.85513535235073868 3.0635014736756707 130.58605370175059 140 82 63 1.3525328756766926 2 1744 1 3092
66 -0.83297170216673744 3.0785108342912979 129.54496579044803 156 83 70 2.1857325317807756 2 1779 1 3124
67 0.53295308087987758 7.456026852493939 319.50599222380674 133 77 60 0.45045951844668186 2 1783 1 2879
68 0.78225022454782489 7.8265431073466072 334.11879036989779 140 80 65 0.24526388156484835 2 1799 1 2875
71 0.16923255471637427 5.5915371920562782 232.35021578663486 126 69 52 0.18228383717858754 2 1845 1 2982
72 0.24327124387777166 5.7509287788997616 239.22135240696292 115 54 36 0.12509481985088922 2 1846 1 2969
73 0.30472956419171171 5.6499145682441645 234.77353666878079 125 60 41 0.14068635322766759 2 1847 1 2970
75 -0.63292306054975922 5.0428735117417292 207.00079879572013 132 68 54 1.1149023699847374 2 1891 1 3084
83 -1.8398362707857727 2.5268400785328868 102.92359721661909 252 181 143 2.2911518558488213 2 1978 1 3394
85 -0.78844281124449789 3.4183420992841742 133.15186693024569 185 100 80 3.7291234575704495 2 1997 1 3315
88 -0.071005727057818435 6.2971586784913205 245.04772179280684 205 106 82 0.24455755954258757 2 2049 1 3166
90 0.026994375947659934 5.488308604236436 211.70940662315599 210 111 90 1.5426357796968586 2 2057 1 3195
94 -0.25653494603843841 5.3801709361736547 203.70405986201021 191 95 76 1.0318296930234716 2 2117 1 3284
95 -1.5704390119116576 3.1431573367157992 118.68574622062377 229 121 87 0.36092185088599676 2 2127 1 3515
103 -1.1291117631665719 5.5390772186843416 204.9215230292279 216 118 94 0.65520380451915949 2 2211 1 3426
106 -0.14580112560357703 6.1404465544914792 224.43926066628725 195 98 78 1.4042905836883661 2 2245 1 3382
108 -1.7304951825220236 3.8362939810210657 137.80137429179993 242 144 109 1.3184638972146863 2 2293 1 3636
112 1.0183199876063775 8.7550867928517686 310.28661783130718 200 104 81 0.66592281775579498 2 2384 1 3397
121 -2.0262507249500206 1.9814181446188404 62.805439724479179 252 218 177 1.4608552276860958 2 2606 1 4032
123 -1.7238365100097954 9.5877545018361658 313.66424255203293 227 124 104 3.2029442735308895 2 2638 1 3777
128 -1.800592323787537 5.3455888122075939 170.631407550033 243 159 119 0.38243252671280148 2 2675 1 3914
129 0.13015379048653056 10.13279221068643 329.71954997519788 211 109 82 1.7429793989587941 2 2684 1 3726
142 -1.6614663259548332 7.8093232909995987 240.82355232361815 242 152 118 0.071397595298321598 2 2844 1 3975
148 0.024192487839222693 11.927867123302526 362.20934474575671 210 116 90 3.1062223487667833 2 2966 1 3953
151 -0.25964371616493531 11.915763205947423 355.06698948410485 221 136 109 3.2525290846243777 2 3035 1 4025
155 -1.3054651592458029 11.93071930553122 349.56797657859636 232 145 119 1.2497875510191121 2 3078 1 4102
158 -1.6660860966146473 9.5017915830185586 271.86755344254635 237 152 117 1.4257762194442773 2 3137 1 4189
160 -2.3587956018909764 6.8593167437717959 191.94669406961705 243 164 134 1.5309737527321827 2 3144 1 4281
